question,answer
How do I reset my password?,"Click on 'Forgot Password' at login and follow the instructions."
What is your refund policy?,"Refunds are issued within 7 days of purchase if eligible."
How can I contact customer support?,"You can email us at support@example.com."
Where can I track my order?,"Track your order from the 'Orders' section in your account."
Do you offer international shipping?,"Yes, we ship to over 50 countries worldwide."
How long does shipping take?,"Shipping usually takes 3–5 business days for domestic orders and 7–14 days for international."
Can I change my delivery address after placing an order?,"Yes, please contact customer support within 24 hours to update your address."
Do you provide bulk order discounts?,"Yes, we offer special pricing for bulk orders. Contact sales@example.com for details."
Is my personal data secure on your website?,"Yes, we use encryption and follow industry standards to keep your data safe."
Can I cancel my order after payment?,"Orders can be canceled within 12 hours of purchase. Contact support for help."
What payment methods do you accept?,"We accept Visa, Mastercard, PayPal, Apple Pay, and Google Pay."
Do you have a loyalty program?,"Yes, join our Rewards Club to earn points on every purchase."
What happens if my item arrives damaged?,"Please send a photo of the damaged item to support@example.com for a free replacement or refund."
Do you have physical stores?,"No, we operate exclusively online to keep prices low."
Is there a warranty on your products?,"Yes, most products come with a 1-year warranty. Check individual product pages for details."
How do I apply a discount code?,"You can enter the discount code at checkout before completing your purchase."
Can I return items on sale?,"Sale items are non-refundable unless defective or damaged."
Do you restock out-of-stock items?,"Yes, popular items are restocked regularly. Sign up for notifications on the product page."
What should I do if I forgot my account password?,"Click on 'Forgot Password' and follow the reset instructions sent to your email."
Can I change items after ordering?,"To modify your order, contact support@example.com within 12 hours of purchase."
